WeekDate,Milking,Dry,LACT>0,%M,NewIn,Left,LACT>1,LACT=1,LACT=0,Total Animals,Avg Milk,Total CWT
10/17/2020,2108,245,2353,90,0,2,1488,865,2108,4461,77,1616
10/24/2020,2112,264,2376,89,3,11,1498,878,2107,4483,76,1612
10/31/2020,2103,277,2380,88,0,31,1502,878,2108,4488,76,1606
11/7/2020,2095,295,2390,88,0,35,1498,892,2092,4482,77,1607
11/14/2020,2066,322,2388,87,0,43,1500,888,2089,4477,78,1607
11/21/2020,2078,321,2399,87,1,18,1507,892,2100,4499,77,1610
11/28/2020,2104,303,2407,87,0,24,1510,897,2116,4523,77,1617
12/5/2020,2122,279,2401,88,0,37,1519,882,2133,4534,78,1659
12/12/2020,2143,267,2410,89,0,29,1520,890,2123,4533,79,1689
12/19/2020,2180,252,2432,90,0,23,1533,899,2139,4571,78,1697
12/26/2020,2189,235,2424,90,0,24,1526,898,2143,4567,79,1726
1/2/2021,2216,216,2432,91,0,12,1552,880,2159,4591,80,1764
1/9/2021,2228,191,2419,92,0,29,1553,866,2172,4591,80,1784
1/16/2021,2244,177,2421,93,0,30,1550,871,2163,4584,80,1791
1/23/2021,2251,181,2432,93,0,19,1554,878,2163,4595,79,1778
1/30/2021,2250,177,2427,93,0,16,1552,875,2173,4600,80,1799
2/6/2021,2226,193,2419,92,0,37,1547,872,2167,4586,80,1790
2/13/2021,2229,182,2411,92,0,22,1540,871,2181,4592,80,1782
2/20/2021,2238,171,2409,93,0,30,1535,874,2178,4587,80,1782
2/27/2021,2249,169,2418,93,0,23,1536,882,2176,4594,79,1788
3/6/2021,2241,173,2414,93,0,28,1525,889,2170,4584,80,1803
3/13/2021,2239,178,2417,93,0,11,1529,888,2182,4599,80,1790
3/20/2021,2252,177,2429,93,0,8,1539,890,2186,4615,81,1821
3/27/2021,2252,161,2413,93,0,30,1529,884,2198,4611,80,1804
4/3/2021,2249,167,2416,93,0,13,1528,888,2199,4615,80,1797
4/10/2021,2233,192,2425,92,0,8,1532,893,2207,4632,82,1839
4/17/2021,2224,192,2416,92,0,24,1529,887,2207,4623,83,1846
4/24/2021,2236,191,2427,92,0,16,1533,894,2219,4646,81,1805
5/1/2021,2205,229,2434,91,0,26,1536,898,2204,4638,80,1760
5/8/2021,2180,245,2425,90,0,36,1522,903,2205,4630,81,1767
5/15/2021,2223,221,2444,91,0,10,1528,916,2210,4654,80,1778
5/22/2021,2226,216,2442,91,0,25,1530,912,2209,4651,80,1772
5/29/2021,2229,198,2427,92,0,26,1533,894,2222,4649,79,1761
6/5/2021,2208,227,2435,91,0,7,1541,894,2226,4661,79,1737
6/12/2021,2192,250,2442,90,0,11,1544,898,2221,4663,78,1716
6/19/2021,2170,273,2443,89,0,16,1546,897,2225,4668,78,1684
6/26/2021,2151,280,2431,88,0,25,1540,891,2220,4651,79,1689
7/3/2021,2115,308,2423,87,0,21,1536,887,2229,4652,79,1678
7/10/2021,2084,341,2425,86,0,10,1547,878,2240,4665,78,1632
7/17/2021,2110,324,2434,87,0,12,1564,870,2253,4687,77,1620
7/24/2021,2110,320,2430,87,0,19,1559,871,2261,4691,77,1626
7/31/2021,2136,311,2447,87,0,8,1578,869,2274,4721,76,1625
8/7/2021,2124,313,2437,87,0,24,1582,855,2277,4714,77,1636
8/14/2021,2123,306,2429,87,0,30,1588,841,2293,4722,76,1614
8/21/2021,2128,309,2437,87,0,20,1595,842,2296,4733,75,1591
8/28/2021,2137,303,2440,88,0,65,1593,847,2263,4703,75,1594
9/4/2021,2132,314,2446,87,0,23,1595,851,2267,4713,75,1598
9/11/2021,2131,309,2440,87,0,23,1583,857,2274,4714,75,1594
9/18/2021,2138,293,2431,88,0,31,1586,845,2285,4716,74,1593
9/25/2021,2127,296,2423,88,0,22,1587,836,2288,4711,72,1539
10/2/2021,2131,281,2412,88,0,18,1594,818,2305,4717,71,1515
10/9/2021,2121,281,2402,88,0,35,1592,810,2308,4710,72,1536
10/16/2021,2109,275,2384,88,0,24,1587,797,2321,4705,74,1555
10/23/2021,2129,266,2395,89,1,17,1596,799,2342,4737,74,1566
10/30/2021,2143,257,2400,89,0,25,1589,811,2348,4748,74,1576
11/6/2021,2119,271,2390,89,0,33,1567,823,2352,4742,75,1582
11/13/2021,2120,279,2399,88,0,29,1564,835,2367,4766,75,1598
11/20/2021,2136,276,2412,89,0,22,1574,838,2377,4789,76,1621
11/27/2021,2155,265,2420,89,0,14,1582,838,2388,4808,77,1663
12/4/2021,2156,265,2421,89,0,18,1579,842,2403,4824,79,1707
12/11/2021,2166,258,2424,89,0,32,1574,850,2424,4848,80,1730
12/18/2021,2161,268,2429,89,0,12,1585,844,2442,4871,80,1731
12/25/2021,2160,272,2432,89,0,18,1592,840,2456,4888,81,1760
1/1/2022,2149,273,2422,89,0,25,1586,836,2459,4881,82,1762
1/8/2022,2132,277,2409,89,0,38,1578,831,2456,4865,83,1760
1/15/2022,2138,279,2417,88,0,68,1573,844,2408,4825,82,1763
1/22/2022,2146,287,2433,88,0,12,1575,858,2407,4840,82,1770
1/29/2022,2147,299,2446,88,0,27,1573,873,2404,4850,82,1769
2/5/2022,2194,252,2446,90,0,256,1570,876,2173,4619,80,1763
2/12/2022,2207,243,2450,90,0,38,1579,871,2140,4590,82,1804
2/19/2022,2211,231,2442,91,0,19,1578,864,2134,4576,81,1788
2/26/2022,2204,233,2437,90,0,24,1576,861,2121,4558,82,1800
3/5/2022,2209,223,2432,91,0,31,1571,861,2114,4546,85,1869
3/12/2022,2219,214,2433,91,0,147,1568,865,1986,4419,81,1805
3/19/2022,2221,204,2425,92,0,22,1567,858,1980,4405,85,1895
3/26/2022,2216,199,2415,92,0,15,1560,855,1982,4397,87,1926
4/2/2022,2205,206,2411,91,0,14,1560,851,1980,4391,88,1937
4/9/2022,2200,210,2410,91,0,27,1561,849,1970,4380,87,1919
4/16/2022,2177,231,2408,90,0,19,1558,850,1965,4373,87,1884
4/23/2022,2184,232,2416,90,0,14,1564,852,1962,4378,87,1911
4/30/2022,2176,239,2415,90,0,20,1564,851,1952,4367,88,1911
5/7/2022,2152,243,2395,90,0,26,1551,844,1950,4345,87,1881
5/14/2022,2139,259,2398,89,0,21,1564,834,1940,4338,87,1866
5/21/2022,2124,263,2387,89,0,19,1561,826,1938,4325,86,1836
5/28/2022,2112,283,2395,88,0,12,1566,829,1933,4328,85,1798
6/4/2022,2101,293,2394,88,0,18,1571,823,1926,4320,83,1748
6/11/2022,2112,274,2386,89,0,35,1567,819,1902,4288,81,1706
6/18/2022,2093,299,2392,88,0,6,1578,814,1898,4290,82,1719
6/25/2022,2081,298,2379,87,0,21,1575,804,1896,4275,83,1729
7/2/2022,2104,298,2402,88,0,4,1592,810,1894,4296,83,1748
7/9/2022,2123,299,2422,88,0,16,1596,826,1875,4297,85,1803
7/16/2022,2114,309,2423,87,0,21,1589,834,1868,4291,88,1866
7/23/2022,2141,289,2430,88,0,15,1590,840,1858,4288,84,1791
7/30/2022,2128,293,2421,88,0,20,1591,830,1859,4280,85,1805
8/6/2022,2131,300,2431,88,0,5,1599,832,1860,4291,79,1676
8/13/2022,2154,289,2443,88,0,27,1603,840,1839,4282,76,1632
8/20/2022,2178,278,2456,89,0,28,1606,850,1822,4278,75,1629
8/27/2022,2171,280,2451,89,1,56,1601,850,1789,4240,79,1713
9/3/2022,2177,285,2462,88,0,16,1601,861,1783,4245,79,1725
9/10/2022,2187,275,2462,89,0,27,1595,867,1777,4239,80,1745
9/17/2022,2178,277,2455,89,0,18,1586,869,1771,4226,80,1749
9/24/2022,2209,270,2479,89,0,16,1591,888,1763,4242,79,1752
10/1/2022,2198,279,2477,89,0,28,1578,899,1749,4226,78,1722
10/8/2022,2170,305,2475,88,0,17,1580,895,1744,4219,79,1718
10/15/2022,2157,299,2456,88,0,26,1575,881,1745,4201,81,1743
10/22/2022,2142,303,2445,88,0,20,1574,871,1745,4190,79,1684
10/29/2022,2124,306,2430,87,0,11,1578,852,1748,4178,79,1682
11/5/2022,2111,314,2425,87,0,36,1587,838,1728,4153,79,1660
11/12/2022,2103,321,2424,87,0,18,1580,844,1730,4154,77,1619
11/19/2022,2104,328,2432,87,0,19,1575,857,1727,4159,79,1662
11/26/2022,2113,328,2441,87,0,16,1583,858,1717,4158,78,1651
12/3/2022,2101,335,2436,86,0,28,1573,863,1712,4148,74,1556
12/10/2022,2095,342,2437,86,0,60,1574,863,1669,4106,77,1604
12/17/2022,2132,323,2455,87,0,6,1592,863,1657,4112,79,1675
12/24/2022,2143,313,2456,87,0,12,1594,862,1651,4107,82,1750
12/31/2022,2143,307,2450,87,0,40,1587,863,1633,4083,82,1758
1/7/2023,2151,305,2456,88,0,23,1584,872,1627,4083,81,1738
1/14/2023,2175,288,2463,88,0,16,1594,869,1622,4085,82,1786
1/21/2023,2198,274,2472,89,0,19,1603,869,1624,4096,83,1825
1/28/2023,2204,261,2465,89,0,43,1601,864,1610,4075,83,1829
2/4/2023,2217,242,2459,90,0,24,1598,861,1595,4054,82,1814
2/11/2023,2223,231,2454,91,0,24,1597,857,1585,4039,81,1804
2/18/2023,2251,216,2467,91,0,23,1597,870,1578,4045,80,1793
2/25/2023,2244,224,2468,91,0,30,1588,880,1561,4029,78,1750
3/4/2023,2250,205,2455,92,0,40,1572,883,1548,4003,79,1777
3/11/2023,2237,216,2453,91,0,21,1568,885,1538,3991,79,1771
3/18/2023,2200,244,2444,90,0,19,1553,891,1541,3985,78,1708
3/25/2023,2191,247,2438,90,0,53,1553,885,1511,3949,75,1645
4/1/2023,2190,253,2443,90,0,28,1551,892,1492,3935,75,1642
4/8/2023,2186,258,2444,89,0,22,1546,898,1487,3931,68,1477
4/15/2023,2205,248,2453,90,0,18,1550,903,1469,3922,56,1228
4/22/2023,2200,254,2454,90,0,12,1552,902,1469,3923,1,16
4/29/2023,2197,262,2459,89,0,10,1559,900,1470,3929,1,14
5/6/2023,2201,252,2453,90,0,22,1562,891,1459,3912,1,14
5/13/2023,2198,257,2455,90,0,15,1574,881,1458,3913,1,17
5/20/2023,2167,284,2451,88,0,15,1563,888,1457,3908,1,19
5/27/2023,2154,307,2461,88,0,9,1572,889,1450,3911,1,20
6/3/2023,2132,319,2451,87,0,32,1572,879,1440,3891,1,21
6/10/2023,2119,341,2460,86,0,9,1580,880,1435,3895,1,12
6/17/2023,2100,362,2462,85,0,20,1572,890,1434,3896,1,11
6/24/2023,2096,367,2463,85,0,12,1575,888,1421,3884,1,11
7/1/2023,2080,373,2453,85,0,21,1577,876,1420,3873,0,10
7/8/2023,2122,344,2466,86,0,10,1591,875,1411,3877,0,10
7/15/2023,2121,332,2453,86,0,23,1592,861,1410,3863,0,10
7/22/2023,2121,338,2459,86,0,22,1599,860,1402,3861,0,10
7/29/2023,2139,324,2463,87,0,15,1600,863,1399,3862,0,9
8/5/2023,2152,302,2454,88,0,19,1605,849,1394,3848,0,7
8/12/2023,2155,298,2453,88,0,25,1604,849,1394,3847,0,7
8/19/2023,2189,272,2461,89,0,15,1618,843,1391,3852,0,5
8/26/2023,2207,264,2471,89,0,9,1628,843,1392,3863,0,5
9/2/2023,2249,226,2475,91,0,31,1626,849,1372,3847,0,5
9/9/2023,2242,228,2470,91,0,22,1625,845,1371,3841,0,5
9/16/2023,2253,231,2484,91,0,13,1634,850,1361,3845,0,5
9/23/2023,2242,240,2482,90,0,25,1622,860,1358,3840,0,4
9/30/2023,2236,253,2489,90,0,30,1616,873,1340,3829,0,2
10/7/2023,2220,272,2492,89,0,18,1617,875,1336,3828,0,2
10/14/2023,2199,298,2497,88,0,15,1620,877,1329,3826,0,1
10/21/2023,2183,309,2492,88,0,29,1607,885,1323,3815,0,1
10/28/2023,2186,303,2489,88,0,14,1609,880,1316,3805,0,1
11/4/2023,2154,316,2470,87,0,34,1594,876,1313,3783,0,1
11/11/2023,2156,315,2471,87,0,17,1593,878,1311,3782,0,1
11/18/2023,2121,351,2472,86,0,30,1580,892,1310,3782,0,1
11/25/2023,2122,363,2485,85,1,6,1588,897,1305,3790,0,1
12/2/2023,2132,353,2485,86,2,36,1580,905,1295,3780,0,1
12/9/2023,2174,323,2497,87,0,24,1592,905,1281,3778,0,0
12/16/2023,2191,311,2502,88,0,19,1601,901,1272,3774,0,0
12/23/2023,2184,322,2506,87,0,19,1602,904,1263,3769,0,0
12/30/2023,2186,307,2493,88,0,16,1604,889,1259,3752,0,0
1/6/2024,2197,292,2489,88,0,18,1611,878,1255,3744,0,0
1/13/2024,2192,270,2462,89,0,32,1603,859,1252,3714,0,0
1/20/2024,2219,249,2468,90,0,18,1614,854,1239,3707,0,0
1/27/2024,2217,228,2445,91,0,29,1603,842,1236,3681,0,0
2/3/2024,2213,230,2443,91,0,33,1603,840,1217,3660,0,0
2/10/2024,2211,234,2445,90,0,13,1603,842,1213,3658,0,0
2/17/2024,2216,223,2439,91,0,17,1600,839,1206,3645,0,0
2/24/2024,2225,214,2439,91,0,12,1606,833,1203,3642,0,0
3/2/2024,2214,225,2439,91,0,21,1599,840,1196,3635,0,0
3/9/2024,2227,215,2442,91,0,13,1595,847,1201,3643,0,0
3/16/2024,2214,222,2436,91,0,10,1597,839,1203,3639,0,0
3/23/2024,2207,223,2430,91,0,5,1603,827,1211,3641,0,0
3/30/2024,2201,222,2423,91,0,21,1602,821,1218,3641,0,0
4/6/2024,2200,226,2426,91,0,2,1617,809,1233,3659,0,0
4/13/2024,2167,235,2402,90,0,28,1610,792,1236,3638,0,0
4/20/2024,2168,243,2411,90,0,4,1617,794,1241,3652,0,0
4/27/2024,2145,268,2413,89,0,11,1611,802,1248,3661,0,0
5/4/2024,2139,280,2419,88,0,10,1615,804,1253,3672,0,0
5/11/2024,2128,292,2420,88,0,21,1618,802,1260,3680,0,0
5/18/2024,2137,283,2420,88,0,16,1621,799,1271,3691,0,0
5/25/2024,2123,289,2412,88,0,26,1617,795,1282,3694,0,0
6/1/2024,2124,289,2413,88,0,16,1624,789,1287,3700,0,0
6/8/2024,2117,289,2406,88,0,22,1628,778,1298,3704,0,0
6/15/2024,2096,300,2396,87,0,17,1632,764,1302,3698,0,0
6/22/2024,2092,303,2395,87,0,14,1643,752,1317,3712,0,0
6/29/2024,2087,299,2386,87,0,17,1650,736,1344,3730,0,0
7/6/2024,2087,302,2389,87,0,5,1655,734,1357,3746,0,0
7/13/2024,2083,308,2391,87,0,7,1662,729,1372,3763,0,0
7/20/2024,2076,310,2386,87,0,17,1662,724,1380,3766,0,0
7/27/2024,2060,325,2385,86,0,15,1663,722,1394,3779,0,0
8/3/2024,2076,328,2404,86,0,1,1684,720,1406,3810,0,0
8/10/2024,2080,319,2399,87,0,9,1676,723,1417,3816,0,0
8/17/2024,2070,323,2393,87,0,22,1671,722,1423,3816,0,0
8/24/2024,2077,311,2388,87,0,12,1675,713,1454,3842,0,0
8/31/2024,2077,306,2383,87,0,22,1675,708,1472,3855,0,0
9/7/2024,2083,299,2382,87,0,15,1675,707,1476,3858,0,0
9/14/2024,2075,301,2376,87,0,23,1675,701,1487,3863,0,0
9/21/2024,2083,293,2376,88,0,10,1682,694,1507,3883,0,0
9/28/2024,2093,275,2368,88,0,29,1693,675,1523,3891,0,0
10/5/2024,2099,266,2365,89,0,16,1696,669,1547,3912,0,0
10/12/2024,2097,272,2369,89,0,27,1704,665,1535,3904,0,0
10/19/2024,2109,262,2371,89,0,19,1713,658,1548,3919,0,0
10/26/2024,2089,279,2368,88,0,25,1709,659,1554,3922,0,0
11/2/2024,2085,292,2377,88,0,16,1706,671,1565,3942,0,0
11/9/2024,2081,299,2380,87,1,18,1708,672,1566,3946,0,0
11/16/2024,2067,289,2356,88,0,69,1700,656,1536,3892,0,0
11/23/2024,2058,305,2363,87,0,102,1709,654,1445,3808,0,0
11/30/2024,2078,280,2358,88,0,14,1717,641,1454,3812,0,0
12/7/2024,2071,283,2354,88,0,19,1717,637,1454,3808,0,0
12/14/2024,2064,293,2357,88,0,12,1723,634,1462,3819,0,0
12/21/2024,2072,300,2372,87,0,42,1732,640,1438,3810,0,0
12/28/2024,2079,293,2372,88,0,11,1740,632,1443,3815,0,0
1/4/2025,2070,299,2369,87,0,21,1741,628,1446,3815,0,0
1/11/2025,2082,280,2362,88,0,17,1745,617,1460,3822,0,0
1/18/2025,2106,253,2359,89,0,18,1747,612,1464,3823,0,0
1/25/2025,2100,251,2351,89,0,40,1743,608,1445,3796,0,0
2/1/2025,2114,235,2349,90,0,78,1752,597,1401,3750,0,0
2/8/2025,2113,217,2330,91,0,23,1748,582,1410,3740,0,0
2/15/2025,2120,202,2322,91,0,18,1745,577,1416,3738,0,0
2/22/2025,2130,197,2327,92,0,17,1750,577,1407,3734,0,0
3/1/2025,2118,196,2314,92,0,93,1742,572,1342,3656,0,0
3/8/2025,2098,204,2302,91,0,15,1729,573,1344,3646,0,0
3/15/2025,2076,214,2290,91,0,100,1717,573,1263,3553,0,0
3/22/2025,2077,217,2294,91,0,7,1723,571,1265,3559,0,0
3/29/2025,2055,232,2287,90,0,49,1712,575,1242,3529,0,0
4/5/2025,2034,239,2273,89,0,23,1702,571,1247,3520,0,0
4/12/2025,2027,250,2277,89,0,8,1705,572,1250,3527,0,0
4/19/2025,2019,249,2268,89,0,13,1707,561,1256,3524,0,0
4/26/2025,2002,252,2254,89,0,36,1704,550,1238,3492,0,0
5/3/2025,1998,248,2246,89,0,11,1701,545,1243,3489,0,0
5/10/2025,2013,251,2264,89,0,14,1704,560,1249,3513,0,0
5/17/2025,2024,249,2273,89,0,13,1700,573,1252,3525,0,0
5/24/2025,2032,245,2277,89,0,14,1709,568,1249,3526,0,0
5/31/2025,2026,249,2275,89,0,9,1711,564,1251,3526,0,0
6/7/2025,2019,243,2262,89,0,22,1700,562,1251,3513,0,0
6/14/2025,2009,249,2258,89,0,32,1689,569,1250,3508,0,0
6/21/2025,2004,252,2256,89,0,13,1687,569,1257,3513,0,0
6/28/2025,2004,254,2258,89,0,5,1696,562,1266,3524,0,0
7/5/2025,1995,256,2251,89,0,19,1688,563,1268,3519,0,0
7/12/2025,1993,259,2252,88,0,4,1693,559,1274,3526,0,0
7/19/2025,1958,286,2244,87,0,12,1683,561,1272,3516,0,0
7/26/2025,1966,281,2247,87,0,10,1691,556,1277,3524,0,0
8/2/2025,1979,276,2255,88,0,5,1698,557,1287,3542,0,0
8/9/2025,1971,270,2241,88,0,22,1691,550,1297,3538,0,0
8/16/2025,1970,275,2245,88,0,17,1691,554,1302,3547,0,0
8/23/2025,1986,262,2248,88,0,10,1685,563,1314,3562,0,0
8/30/2025,1971,279,2250,88,0,12,1692,558,1328,3578,0,0
9/6/2025,1974,289,2263,87,0,3,1701,562,1337,3600,0,0
9/13/2025,1950,290,2240,87,0,20,1689,551,1347,3587,0,0
9/20/2025,1954,290,2244,87,0,8,1694,550,1363,3607,0,0
9/27/2025,1950,287,2237,87,0,23,1683,554,1380,3617,0,0
10/4/2025,1913,315,2228,86,0,22,1671,557,1381,3609,0,0
10/11/2025,1904,331,2235,85,0,7,1673,562,1392,3627,0,0
======== ,======= ,==== ,====== ,== ,===== ,===== ,====== ,====== ,====== ,============= ,======== ,=========
Summary  ,2136,269,2405,89,10,6042,1609,796,1690,4095,40,865
